2023-05-15 22:14:22,69203/71311,692013/713119,6918860/7132499,69061660/71456385
2023-05-15 22:16:41,69208/71316,692070/713178,6919429/7133087,69067339/71462274
2023-05-15 22:30:34,69214/71322,692127/713236,6919999/7133674,69073020/71468163
2023-05-15 22:40:57,69209/71317,692077/713184,6919494/7133153,69067983/71462942
2023-05-15 22:54:45,69181/71288,691796/712895,6916689/7130261,69040015/71433944
2023-05-15 22:58:39,69184/71291,691825/712924,6916974/7130555,69042853/71436887
2023-05-15 23:08:11,69191/71299,691901/713004,6917742/7131347,69050525/71444825
2023-05-15 23:11:15,69191/71299,691901/713004,6917742/7131347,69050511/71444840
2023-05-15 23:24:01,69248/71358,692471/713591,6923439/7137222,69107327/71503747
2023-05-15 23:35:34,69248/71358,692471/713591,6923440/7137222,69107356/71503717
2023-05-16 00:01:52,69248/71358,692471/713591,6923443/7137219,69107643/71503418
2023-05-16 00:11:47,69248/71357,692469/713588,6923415/7137190,69107364/71503129
2023-05-16 00:24:22,69463/71579,694617/715802,6944892/7159335,69321551/71725194
2023-05-16 00:26:21,69457/71573,694561/715744,6944329/7158755,69315937/71719374
2023-05-16 00:34:41,69429/71544,694279/715454,6941516/7155854,69287880/71690284
2023-05-16 00:38:37,69421/71535,694195/715367,6940672/7154984,69279465/71681561
2023-05-16 00:44:40,69504/71621,695026/716223,6948979/7163549,69362309/71767451
2023-05-16 00:50:44,69490/71606,694885/716078,6947571/7162097,69348264/71752890
2023-05-16 01:49:02,69487/71603,694854/716046,6947261/7161778,69345173/71749687
2023-05-16 02:01:35,69486/71603,694848/716040,6947205/7161720,69344612/71749105
2023-05-16 02:15:46,69480/71597,694792/715982,6946642/7161139,69338995/71743282
2023-05-16 02:26:18,69480/71596,694783/715974,6946557/7161052,69338153/71742409
2023-05-16 03:06:28,69480/71596,694783/715974,6946557/7161052,69338095/71742469
2023-05-16 03:23:36,69473/71589,694719/715907,6945909/7160384,69331628/71735776
2023-05-16 03:41:53,69445/71560,694437/715617,6943093/7157481,69303548/71706663
2023-05-16 07:14:08,69361/71473,693593/714747,6934656/7148782,69219410/71619430
2023-05-16 10:45:45,69363/71476,693622/714776,6934941/7149076,69222255/71622379
2023-05-16 10:51:25,69366/71479,693650/714806,6935226/7149370,69225100/71625328
2023-05-16 11:08:45,69338/71450,693369/714516,6932417/7146473,69197084/71596282
2023-05-16 11:24:45,69335/71447,693341/714487,6932136/7146184,69194284/71593378
2023-05-16 13:09:11,69321/71433,693201/714342,6930732/7144736,69180283/71578863
2023-05-16 13:14:38,69307/71418,693060/714198,6929326/7143292,69165999/71564651
2023-05-16 13:17:20,69293/71404,692920/714053,6927926/7141843,69152295/71549845
2023-05-16 13:21:44,69279/71390,692780/713909,6926523/7140396,69138307/71535343
2023-05-16 13:29:54,69167/71274,691659/712753,6915318/7128842,69026558/71419484
2023-05-16 13:31:54,69167/71274,691659/712753,6915317/7128843,69026501/71419543
2023-05-16 13:41:07,69165/71272,691642/712736,6915149/7128670,69024826/71417807
2023-05-16 13:45:58,69137/71243,691362/712448,6912351/7125785,68996921/71388875
2023-05-16 14:02:59,69135/71241,691337/712422,6912099/7125525,68994410/71386272
2023-05-16 14:07:35,69135/71241,691341/712426,6912141/7125569,68994832/71386709
2023-05-16 14:19:24,69164/71271,691625/712719,6914982/7128497,69023158/71416077
2023-05-16 15:23:57,69164/71271,691625/712719,6914982/7128497,69023157/71416077
2023-05-16 15:25:52,69149/71256,691480/712569,6913527/7126997,69008659/71401016
2023-05-16 15:35:50,69135/71241,691340/712425,6912128/7125554,68994711/71386555
2023-05-16 15:41:08,69121/71227,691200/712281,6910730/7124113,68980766/71372098
2023-05-16 15:54:08,69065/71169,690641/711704,6905141/7118350,68925032/71314313
2023-05-16 15:56:00,69094/71198,690924/711997,6907977/7121274,68953312/71343633
2023-05-16 16:27:29,69095/71199,690933/712006,6908062/7121362,68954165/71344517
2023-05-16 16:36:48,69092/71196,690905/711977,6907783/7121074,68951378/71341628
2023-05-16 16:50:18,69089/71193,690877/711948,6907503/7120786,68948591/71338739
2023-05-16 17:25:26,69086/71191,690849/711919,6907224/7120498,68945805/71335850
2023-05-16 17:53:38,69115/71220,691133/712212,6910061/7123423,68974098/71365184
2023-05-16 18:04:06,69135/71241,691335/712420,6912081/7125506,68994239/71386065
2023-05-16 18:14:28,69135/71241,691335/712420,6912081/7125507,68994244/71386077
2023-05-16 18:19:54,69135/71241,691334/712419,6912074/7125503,68994008/71386210
2023-05-16 18:22:52,69135/71241,691334/712419,6912074/7125503,68993994/71386224
2023-05-16 18:28:40,69136/71242,691343/712428,6912159/7125591,68994845/71387106
2023-05-16 18:33:16,69130/71236,691287/712370,6911599/7125013,68989259/71381315
2023-05-16 18:46:53,69116/71221,691147/712226,6910199/7123570,68975297/71366839
2023-05-16 18:58:56,69033/71135,690313/711367,6901863/7114975,68892169/71280653
2023-05-16 19:04:30,69005/71107,690034/711079,6899070/7112094,68864308/71251767
2023-05-16 19:08:02,68949/71049,689475/710503,6893487/7106338,68808635/71194047
2023-05-16 19:19:55,69949/72079,699473/720806,6993445/7209383,69806382/72226398
2023-05-16 19:29:59,69943/72073,699416/720748,6992879/7208800,69800737/72220546
2023-05-16 19:30:56,69940/72070,699385/720716,6992568/7208479,69797633/72217328
2023-05-16 19:44:18,70228/72367,702267/723686,7021381/7238187,70084967/72515231
2023-05-16 19:49:49,70244/72384,702426/723850,7022967/7239833,70100312/72532233
2023-05-16 19:54:48,70185/72323,701838/723243,7017086/7233764,70041938/72471091
2023-05-16 19:59:48,70191/72329,701897/723304,7017674/7234369,70047792/72477161
2023-05-16 20:04:52,70188/72326,701868/723274,7017375/7234085,70043793/72475371
2023-05-16 20:10:55,70134/72270,701322/722712,7011922/7228462,69989411/72418985
2023-05-16 20:23:45,70236/72375,702343/723764,7022124/7238982,70091154/72524477
2023-05-16 20:47:05,69378/71491,693767/714926,6936390/7150582,69236186/71638018
2023-05-16 20:54:50,69096/71201,690950/712023,6908225/7121541,68955315/71346808
2023-05-16 20:59:45,68767/70862,687660/708633,6875335/7087628,68627317/71006737
2023-05-16 21:00:16,68796/70891,687943/708924,6878163/7090544,68655519/71035977
2023-05-16 21:07:25,68819/70915,688175/709164,6880486/7092940,68678692/71060002
2023-05-16 21:12:59,68819/70916,688181/709170,6880543/7092999,68679253/71060591
2023-05-16 21:24:40,68804/70900,688025/709009,6878986/7091393,68663726/71044493
2023-05-16 21:25:33,68801/70897,687997/708980,6878707/7091106,68660946/71041611
2023-05-16 21:32:56,68798/70894,687972/708954,6878457/7090848,68658449/71039022
2023-05-16 21:39:27,68801/70897,688000/708984,6878740/7091139,68661270/71041947
2023-05-16 21:44:20,68807/70903,688057/709042,6879306/7091723,68666914/71047798
2023-05-16 21:47:25,67973/70044,679717/700448,6795924/7005767,67834625/70186665
2023-05-16 21:54:25,67836/69902,678343/699032,6782188/6991607,67697514/70044803
2023-05-16 21:58:51,67836/69903,678349/699038,6782244/6991664,67698071/70045380
2023-05-16 22:04:43,67871/69939,678701/699400,6785761/6995290,67733141/70081740
2023-05-16 22:09:35,67911/69979,679095/699807,6789704/6999356,67772460/70122506
